pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher.1,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2.4.1.1,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2022-10-04,95.8,-2.05,4.94,"Díaz, Edwin",669743,621242,field_out,hit_into_play,,,,,12,Alex Call lines out to first baseman Pete Alonso.,R,R,R,NYM,WSH,X,3,line_drive,0,0,2022,-1,1.15,0.22,3.6,,,,2,9,Top,156.56,163.83,,,621512,,,8.447300757686930,-139.2235792129030,-0.44952194543565200,-15.058454445197100,34.404056399718600,-17.496659339625000,3.32,1.63,121,56.5,18,97.2,2325,7.4,661094,621242,621512,624413,643446,500871,596019,592192,607043,571980,53.14,0.311,0.28,0,1,0,0,1,72,1,4-Seam Fastball,4,2,2,4,2,4,2,4,Standard,Standard,230,0.011,-0.099,,
SL,2022-10-04,91.1,-1.89,5.1,"Díaz, Edwin",545121,621242,field_out,hit_into_play,,,,,8,"Ildemaro Vargas grounds out, first baseman Pete Alonso to pitcher Edwin Diaz.",R,L,R,NYM,WSH,X,3,ground_ball,1,2,2022,0.15,0.52,0.2,1.52,,,,1,9,Top,154.6,163.94,,,621512,,,4.996453588468910,-132.474396020227,-4.240899852221400,0.6690718459963160,30.067102383206800,-25.340455997894000,3.25,1.49,9,96.7,-11,92.2,2497,7.1,661094,621242,621512,624413,643446,500871,596019,592192,607043,571980,53.37,0.203,0.184,0,1,0,0,2,71,4,Slider,4,2,2,4,2,4,2,4,Standard,Standard,189,0.023,-0.112,,
FF,2022-10-04,99.5,-1.93,4.88,"Díaz, Edwin",545121,621242,,ball,,,,,11,"Ildemaro Vargas grounds out, first baseman Pete Alonso to pitcher Edwin Diaz.",R,L,R,NYM,WSH,B,,,0,2,2022,-1.54,1.26,-1.42,4.62,,,,1,9,Top,,,,,621512,,,5.077247033576890,-144.5088085865630,1.9445986010856300,-22.62013325038920,45.06788282903930,-15.908312875700200,3.29,1.44,,,,99.1,2616,7,661094,621242,621512,624413,643446,500871,596019,592192,607043,571980,53.53,,,,,,,,71,3,4-Seam Fastball,4,2,2,4,2,4,2,4,Standard,Standard,232,0,0.011,,
SL,2022-10-04,91,-1.92,5.14,"Díaz, Edwin",545121,621242,,swinging_strike,,,,,9,"Ildemaro Vargas grounds out, first baseman Pete Alonso to pitcher Edwin Diaz.",R,L,R,NYM,WSH,S,,,0,1,2022,-0.05,0.7,0.74,1.75,,,,1,9,Top,,,,,621512,,,6.844154933419830,-132.33536523303000,-4.115492175939430,-2.1410662995380600,30.99101662135910,-23.227588623536100,3.25,1.49,,,,91.7,2431,7,661094,621242,621512,624413,643446,500871,596019,592192,607043,571980,53.51,,,,,,,,71,2,Slider,4,2,2,4,2,4,2,4,Standard,Standard,224,0,-0.031,,
FF,2022-10-04,97.3,-2.14,4.92,"Díaz, Edwin",545121,621242,,swinging_strike,,,,,4,"Ildemaro Vargas grounds out, first baseman Pete Alonso to pitcher Edwin Diaz.",R,L,R,NYM,WSH,S,,,0,0,2022,-1.65,1.3,-0.49,2.21,,,,1,9,Top,,,,,621512,,,8.323018046911430,-141.08771151521000,-4.601264455911740,-24.059268184812300,42.16709720895860,-14.06876213037000,3.25,1.49,,,,96.9,2395,7,661094,621242,621512,624413,643446,500871,596019,592192,607043,571980,53.49,,,,,,,,71,1,4-Seam Fastball,4,2,2,4,2,4,2,4,Standard,Standard,231,0,-0.024,,
SL,2022-10-04,89.8,-2.01,5.17,"Díaz, Edwin",514917,621242,field_out,hit_into_play,,,,,8,Cesar Hernandez flies out to center fielder Brandon Nimmo.,R,L,R,NYM,WSH,X,8,fly_ball,2,2,2022,-0.31,0.51,0.27,2.04,,,,0,9,Top,153.18,48.39,,,621512,,,6.35795514947982,-130.47744439687900,-2.741792695896030,-5.147727821597010,33.06640030585150,-26.023755273263600,3.36,1.58,378,99.2,28,89.6,2427,6.7,661094,621242,621512,624413,643446,500871,596019,592192,607043,571980,53.77,0.446,0.774,0,1,0,0,6,70,5,Slider,4,2,2,4,2,4,2,4,Standard,Standard,211,0.037,-0.195,,
SL,2022-10-04,91.4,-1.9,5.08,"Díaz, Edwin",514917,621242,,ball,,,,,14,Cesar Hernandez flies out to center fielder Brandon Nimmo.,R,L,R,NYM,WSH,B,,,1,2,2022,0.11,0.48,1.11,-0.16,,,,0,9,Top,,,,,621512,,,7.46938346396114,-132.64225426067100,-8.33372258869612,-0.6964024383299030,34.150946392062900,-24.60765117197290,3.25,1.37,,,,91.8,2520,7.1,661094,621242,621512,624413,643446,500871,596019,592192,607043,571980,53.36,,,,,,,,70,4,Slider,4,2,2,4,2,4,2,4,Standard,Standard,219,0,0.037,,
SL,2022-10-04,89.9,-1.98,5.16,"Díaz, Edwin",514917,621242,,called_strike,,,,,6,Cesar Hernandez flies out to center fielder Brandon Nimmo.,R,L,R,NYM,WSH,S,,,1,1,2022,0.11,0.59,0.33,2.13,,,,0,9,Top,,,,,621512,,,5.569665935859710,-130.70410199615700,-2.7137421786362800,-0.14236025974839200,32.7090282720611,-25.031654727139500,3.35,1.5,,,,90.4,2435,7.1,661094,621242,621512,624413,643446,500871,596019,592192,607043,571980,53.45,,,,,,,,70,3,Slider,4,2,2,4,2,4,2,4,Standard,Standard,194,0,-0.054,,
FF,2022-10-04,97.3,-1.99,4.98,"Díaz, Edwin",514917,621242,,ball,,,,,11,Cesar Hernandez flies out to center fielder Brandon Nimmo.,R,L,R,NYM,WSH,B,,,0,1,2022,-1.14,1.53,-1.11,4.15,,,,0,9,Top,,,,,621512,,,5.0551164815496100,-141.53412440843900,-0.12789213165366900,-16.45734697311030,37.96769414667310,-12.043902761368400,3.41,1.53,,,,98,2458,7.1,661094,621242,621512,624413,643446,500871,596019,592192,607043,571980,53.41,,,,,,,,70,2,4-Seam Fastball,4,2,2,4,2,4,2,4,Standard,Standard,229,0,0.025,,
FF,2022-10-04,96.7,-2.07,5.03,"Díaz, Edwin",514917,621242,,swinging_strike,,,,,1,Cesar Hernandez flies out to center fielder Brandon Nimmo.,R,L,R,NYM,WSH,S,,,0,0,2022,-1.38,1.74,-0.77,3.14,,,,0,9,Top,,,,,621512,,,6.678132512400050,-140.33593225533700,-3.2831332728796700,-19.75786473573440,41.39098525888130,-9.026052392638970,3.36,1.58,,,,96.1,2401,6.8,661094,621242,621512,624413,643446,500871,596019,592192,607043,571980,53.71,,,,,,,,70,1,4-Seam Fastball,4,2,2,4,2,4,2,4,Standard,Standard,224,0,-0.034,,
